拼音声调,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
ri,ɹ̠˞ɘ̻˞,ɻɻ̍,ɻ̺ɻ̺̍,ɹ̺,ɹ̺ɹ̩,ʐʅ,ʐʅ,ɻʅ,ʐʅ,ɹɹ̩,ʐʅ
rong,ɹ̠˞o̯ũ,ɻʊŋ,ɻ̺ʷʊŋ̚ʷ,ɹ̺uŋ,ɹ̺ʊŋ,ʐuŋ,ʐuŋ,ɻʊᵑ,ʐʊŋ,ɹɷŋ,ʐʊŋ
rou,ɹ̠˞ɔo̯,ɻoʊ,ɻ̺ʷo̜̽ʊ̯,ɹ̺ou,ɹ̺o̟u,ʐou,ʐou,ɻɤᵘ,ʐoʊ,ɹou,ʐoʊ
ru,ɹ̠˞ɵ̻,ɻu,ɻ̺u,ɹ̺u,ɹ̺u,ʐu,ʐu,ɻu,ʐu,ɹu,ʐu
ruan,ɹ̠˞wɞɹ̃,ɻwan,ɻ̺wa̠n̚,ɹ̺uan,ɹ̺u̟an,ʐuan,ʐuan,ɻuaⁿ,ʐuan,ɹuan,ʐuan
rui,ɹ̠˞wɛe̯,ɻweɪ,ɻ̺uɘ̹̑ɪ̯,ɹ̺uei,ɹ̺ue̠i,ʐuei,ʐuei,ɻueⁱ,ʐueɪ,ɹuei,ʐueɪ
run,ɹ̠˞wɵ̯ɹ̩̃,ɻwən,ɻ̺uɘ̹̑n̚,ɹ̺uən,ɹ̺uən,ʐuən,ʐuən,ɻuəⁿ,ʐuən,ɹuən,ʐuən
ruo,ɹ̠˞ʊ,ɻwo,ɻ̺wo̜̽,ɹ̺uo,ɹ̺uo̟,ʐuo,ʐuo,ɻuo,ʐuo,ɹuɤ,ʐuo̞͑
sa,sɜ,sa,s̟ä,sa,sa̠,sᴀ,sᴀ,sᴀ,sᴀ,sᴀ,sᴀ
sai,sɜɛ̯,saɪ,s̟a̠ɪ̯,sai,saɪ,sai,sai,saⁱ,sae,sai,sæɪ
san,sɜɹ̃,san,s̟a̠n̚,san,sa̝n,san,san,sæⁿ,san,san,san
sang,sʌɰ̃,sɑŋ,s̟ɑ̟ŋ̚,saŋ,sa̝ŋ,saŋ,sɑŋ,sɑᵑ,sɑŋ,sɑŋ,sɑŋ
sao,sʌɔ̯,sɑʊ,s̟ɑ̟ʊ̯,sau,sa̝ʊ,sau,sɑu,sɑᵘ,sɑo,sɑu,sɑʊ
se,sɯ̽,sɤ,s̟ɤʌ̟̑,sɤ,sɤʌ̯,sɤ,sɤ,sɤ,sɤᶺ,sɤ,sɤᶺ
sen,sɘ̯ɹ̩̃,sən,s̟ə̟n̚,sən,sən,sən,sən,səⁿ,sən,sən,sən
seng,sɤ̯ɯ̃,sɤŋ,s̟ɤ̽ŋ̚,səŋ,səŋ,səŋ,səŋ,səᵑ,səŋ,sʌŋ,sʌŋ
sha,ʃ˞ɜ,ʂa,ʂ̺ä,ʃ̺a,ʃ̺a̠,ʂᴀ,ʂᴀ,ʂᴀ,ʂᴀ,ʂᴀ,ʂᴀ
shai,ʃ˞ɜɛ̯,ʂaɪ,ʂ̺a̠ɪ̯,ʃ̺ai,ʃ̺aɪ,ʂai,ʂai,ʂaⁱ,ʂae,ʂai,ʂæɪ
shan,ʃ˞ɜɹ̃,ʂan,ʂ̺a̠n̚,ʃ̺an,ʃ̺a̝n,ʂan,ʂan,ʂæⁿ,ʂan,ʂan,ʂan
shang,ʃ˞ʌɰ̃,ʂɑŋ,ʂ̺ɑ̟ŋ̚,ʃ̺aŋ,ʃ̺a̝ŋ,ʂaŋ,ʂɑŋ,ʂɑᵑ,ʂɑŋ,ʂɑŋ,ʂɑŋ
shao,ʃ˞ʌɔ̯,ʂɑʊ,ʂ̺ɑ̟ʊ̯,ʃ̺au,ʃ̺a̝ʊ,ʂau,ʂɑu,ʂɑᵘ,ʂɑo,ʂɑu,ʂɑʊ
she,ʃ˞ɯ̽,ʂɤ,ʂ̺ɤʌ̟̑,ʃ̺ɤ,ʃ̺ɤʌ̯,ʂɤ,ʂɤ,ʂɤ,ʂɤᶺ,ʂɤ,ʂɤᶺ
shen,ʃ˞ɘ̯ɹ̩̃,ʂən,ʂ̺ə̟n̚,ʃ̺ən,ʃ̺ən,ʂən,ʂən,ʂəⁿ,ʂən,ʂən,ʂən
sheng,ʃ˞ɤ̯ɯ̃,ʂɤŋ,ʂ̺ɤ̽ŋ̚,ʃ̺əŋ,ʃ̺əŋ,ʂəŋ,ʂəŋ,ʂəᵑ,ʂəŋ,ʂʌŋ,ʂʌŋ
shi,ʃ˞ɘ̻˞,ʂɻ̍,ʂ̺ɻ̺̍,ʃ̺ɹ̩,ʃ̺ɹ̩,ʂʅ,ʂʅ,ʂʅ,ʂʅ,ʂɹ̩,ʂʅ
shou,ʃ˞ɔo̯,ʂoʊ,ʂ̺ʷo̜̽ʊ̯,ʃ̺ou,ʃ̺o̟u,ʂou,ʂou,ʂɤᵘ,ʂoʊ,ʂou,ʂoʊ
shu,ʃ˞ɵ̻,ʂu,ʂ̺u,ʃ̺u,ʃ̺u,ʂu,ʂu,ʂu,ʂu,ʂu,ʂu
shua,ʃ˞wɜ,ʂwa,ʂ̺wä,ʃ̺ua,ʃ̺u̟a,ʂua,ʂuᴀ,ʂuᴀ,ʂuᴀ,ʂuᴀ,ʂuᴀ
shuai,ʃ˞wəɛ̯,ʂwaɪ,ʂ̺wa̠ɪ̯,ʃ̺uai,ʃ̺ua̝i,ʂuai,ʂuai,ʂuaⁱ,ʂuae,ʂuai,ʂuæɪ
shuan,ʃ˞wɞɹ̃,ʂwan,ʂ̺wa̠n̚,ʃ̺uan,ʃ̺u̟an,ʂuan,ʂuan,ʂuaⁿ,ʂuan,ʂuan,ʂuan
shuang,ʃ˞woɰ̃,ʂwɑŋ,ʂ̺wɑ̟ŋ̚,ʃ̺uaŋ,ʃ̺u̟aŋ,ʂuaŋ,ʂuɑŋ,ʂuɑᵑ,ʂuɑŋ,ʂuɑŋ,ʂuɑŋ
shui,ʃ˞wɛe̯,ʂweɪ,ʂ̺uɘ̹̑ɪ̯,ʃ̺uei,ʃ̺ue̠i,ʂuei,ʂuei,ʂueⁱ,ʂueɪ,ʂuei,ʂueɪ
shun,ʃ˞wɵ̯ɹ̩̃,ʂwən,ʂ̺uɘ̹̑n̚,ʃ̺uən,ʃ̺uən,ʂuən,ʂuən,ʂuəⁿ,ʂuən,ʂuən,ʂuən
shuo,ʃ˞ʊ,ʂwo,ʂ̺wo̜̽,ʃ̺uo,ʃ̺uo̟,ʂuo,ʂuo,ʂuo,ʂuo,ʂuɤ,ʂuo̞͑
si,sɘʴ,sɹ̩,s̟ɹ̟̍,sɹ̩,sɹ̩,sɿ,sɿ,sɿ,sɿ,sz̩,sɿ
song,so̯ũ,sʊŋ,s̟ʷʊŋ̚ʷ,suŋ,sʊŋ,suŋ,suŋ,sʊᵑ,sʊŋ,sɷŋ,sʊŋ
sou,sɔo̯,soʊ,s̟ʷo̜̽ʊ̯,sou,so̟u,sou,sou,sɤᵘ,soʊ,sou,soʊ
su,soʊ̯,su,s̟u,su,su,su,su,su,su,su,su
suan,swɞɹ̃,swan,s̟wa̠n̚,suan,su̟an,suan,suan,suaⁿ,suan,suan,suan
sui,swɛe̯,sweɪ,s̟uɘ̹̑ɪ̯,suei,sue̠i,suei,suei,sueⁱ,sueɪ,suei,sueɪ
sun,swɵ̯ɹ̩̃,swən,s̟uɘ̹̑n̚,suən,suən,suən,suən,suəⁿ,suən,suən,suən
suo,sʊ,swo,s̟wo̜̽,suo,suo̟,suo,suo,suo,suo,suɤ,suo̞͑
ta,tʰɜ,tʰa,tʰä,tʰa,tʰa̠,tʻᴀ,tʻᴀ,tʻᴀ,tʻᴀ,tʰᴀ,tʻᴀ
tai,tʰɜɛ̯,tʰaɪ,tʰa̠ɪ̯,tʰai,tʰaɪ,tʻai,tʻai,tʻaⁱ,tʻae,tʰai,tʻæɪ
tan,tʰɜɹ̃,tʰan,tʰa̠n̚,tʰan,tʰa̝n,tʻan,tʻan,tʻæⁿ,tʻan,tʰan,tʻan
tang,tʰʌɰ̃,tʰɑŋ,tʰɑ̟ŋ̚,tʰaŋ,tʰa̝ŋ,tʻaŋ,tʻɑŋ,tʻɑᵑ,tʻɑŋ,tʰɑŋ,tʻɑŋ
tao,tʰʌɔ̯,tʰɑʊ,tʰɑ̟ʊ̯,tʰau,tʰa̝ʊ,tʻau,tʻɑu,tʻɑᵘ,tʻɑo,tʰɑu,tʻɑʊ
te,tʰɯ̽,tʰɤ,tʰɤʌ̟̑,tʰɤ,tʰɤʌ̯,tʻɤ,tʻɤ,tʻɤ,tʻɤᶺ,tʰɤ,tʻɤᶺ
tei,tʰɛe̯,tʰeɪ,tʰe̽ɪ̯,tʰei,tʰe̠i,tʻei,tʻei,tʻeⁱ,tʻeɪ,tʰei,tʻeɪ
teng,tʰɤ̯ɯ̃,tʰɤŋ,tʰɤ̽ŋ̚,tʰəŋ,tʰəŋ,tʻəŋ,tʻəŋ,tʻəᵑ,tʻəŋ,tʰʌŋ,tʻʌŋ
ti,tʰi̞,tʰi,tʰi,tʰi,tʰi,tʻi,tʻi,tʻi,tʻi,tʰi,tʻi
tian,tʰɪɹ̃,tʰjɛn,tʰjɛ̠n̚,tʰien,tʰie̞n,tʻian,tʻiɛn,tʻiɛⁿ,tʻiɛn,tʰiɛn,tʻiɛn
tiao,tʰjəɔ̯,tʰjɑʊ,tʰjɑ̟ʊ̯,tʰiau,tʰia̝u,tʻiau,tʻiɑu,tʻiɑᵘ,tʻiɑʊ,tʰiɑu,tʻiɑʊ
tie,tʰɪ,tʰjɛ,tʰje̞ɛ̠̑,tʰie,tʰie̞,tʻiɛ,tʻiɛ,tʻiɛ,tʻiᴇ,tʰiɛ,tʻiᴇ
tin,tʰȋ̞ɹ̩̃,tʰin,tʰji̞n̚,tʰin,tʰin,tʻin,tʻin,tʻiɪⁿ,tʻin,tʰin,tʻin
ting,tʰjɘ̯ɯ̃,tʰiŋ,tʰjɪŋ̚,tʰiŋ,tʰiŋ,tʻiŋ,tʻiŋ,tʻiɪᵑ,tʻiəŋ,tʰiŋ,tʻiᵊŋ
tong,tʰo̯ũ,tʰʊŋ,tʰʷʊŋ̚ʷ,tʰuŋ,tʰʊŋ,tʻuŋ,tʻuŋ,tʻʊᵑ,tʻʊŋ,tʰɷŋ,tʻʊŋ
tou,tʰɔo̯,tʰoʊ,tʰʷo̜̽ʊ̯,tʰou,tʰo̟u,tʻou,tʻou,tʻɤᵘ,tʻoʊ,tʰou,tʻoʊ
tu,tʰoʊ̯,tʰu,tʰu,tʰu,tʰu,tʻu,tʻu,tʻu,tʻu,tʰu,tʻu
tuan,tʰwɞɹ̃,tʰwan,tʰwa̠n̚,tʰuan,tʰu̟an,tʻuan,tʻuan,tʻuaⁿ,tʻuan,tʰuan,tʻuan
tui,tʰwɛe̯,tʰweɪ,tʰuɘ̹̑ɪ̯,tʰuei,tʰue̠i,tʻuei,tʻuei,tʻueⁱ,tʻueɪ,tʰuei,tʻueɪ
tun,tʰwɵ̯ɹ̩̃,tʰwən,tʰuɘ̹̑n̚,tʰuən,tʰuən,tʻuən,tʻuən,tʻuəⁿ,tʻuən,tʰuən,tʻuən
tuo,tʰʊ,tʰwo,tʰwo̜̽,tʰuo,tʰuo̟,tʻuo,tʻuo,tʻuo,tʻuo,tʰuɤ,tʻuo̞͑
wa,ʋɜ,wa,wä,wa,wa̠,uᴀ,uᴀ,uᴀ,wᴀ,uᴀ,uᴀ
wai,ʋɜɛ̯,waɪ,wa̠ɪ̯,wai,waɪ,uai,uai,uaⁱ,wae,uai,uæɪ
wan,ʋɜɹ̃,wan,wa̠n̚,wan,wa̝n,uan,uan,uaⁿ,wan,uan,uan
wang,ʋʌɰ̃,wɑŋ,wɑ̟ŋ̚,waŋ,wa̝ŋ,uaŋ,uɑŋ,uɑᵑ,wɑŋ,uɑŋ,uɑŋ
wei,ʋɛe̯,weɪ,we̽ɪ̯,wei,we̠i,uei,uei,ueⁱ,weɪ,uei,ueɪ
wen,ʋɘ̯ɹ̩̃,wən,wə̟n̚,wən,wən,uən,uən,uəⁿ,wən,uən,uən
weng,ʋɤ̯ɯ̃,wɤŋ,wɤ̽ŋ̚,wəŋ,wəŋ,uəŋ,uəŋ,uəᵑ,wəŋ,uʌŋ,uʌŋ
wo,ʋoʋ,wo,wo̜̽,wuo,wuo̟,uo,uo,uo,wo,uɤ,uo̞͑
wu,ʋoʋ,wu,wu,wu,wu,u,u,u,wu,u,u
xi,ɕˢi̞,ɕi,ɕi,ɕi,ɕi,ɕi,ɕi,ɕi,ɕi,ɕi,ɕi
xia,ɕˢjɜ,ɕja,ɕjä,ɕia,ɕia,ɕia,ɕiᴀ,ɕiᴀ,ɕiᴀ,ɕiᴀ,ɕiᴀ
xian,ɕˢɪɹ̃,ɕjɛn,ɕjɛ̠n̚,ɕien,ɕie̞n,ɕian,ɕiɛn,ɕiɛⁿ,ɕiɛn,ɕiɛn,ɕiɛn
xiang,ɕˢjəɰ̃,ɕjɑŋ,ɕjɑ̟ŋ̚,ɕiaŋ,ɕiaŋ,ɕiaŋ,ɕiɑŋ,ɕiɑᵑ,ɕiɑŋ,ɕiɑŋ,ɕiɑŋ
xiao,ɕˢjəɔ̯,ɕjɑʊ,ɕjɑ̟ʊ̯,ɕiau,ɕia̝u,ɕiau,ɕiɑu,ɕiɑᵘ,ɕiɑʊ,ɕiɑu,ɕiɑʊ
xie,ɕˢɪ,ɕjɛ,ɕje̞ɛ̠̑,ɕie,ɕie̞,ɕiɛ,ɕiɛ,ɕiɛ,ɕiᴇ,ɕiɛ,ɕiᴇ
xin,ɕˢȋ̞ɹ̩̃,ɕin,ɕji̞n̚,ɕin,ɕin,ɕin,ɕin,ɕiɪⁿ,ɕin,ɕin,ɕin
xing,ɕˢjɘ̯ɯ̃,ɕiŋ,ɕjɪŋ̚,ɕiŋ,ɕiŋ,ɕiŋ,ɕiŋ,ɕiɪᵑ,ɕiəŋ,ɕiŋ,ɕiᵊŋ
xiong,ɕˢɥɵ̯ũ,ɕjʊŋ,ɕɥ͑ʊ̟ŋ̚ʷ,ɕiuŋ,ɕiu̟ŋ,ɕyŋ,ɕyŋ,ɕyɪᵑ,ɕyʊŋ,ɕiɷŋ,ɕyŋ
xiu,ɕˢjɔo̯,ɕjoʊ,ɕj͗o̟͑ʊ̯,ɕiou,ɕio̟u,ɕiou,ɕiou,ɕiɤᵘ,ɕioʊ,ɕiou,ɕioʊ
xu,ɕˢøʏ̯,ɕy,ɕu,ɕy,ɕy,ɕy,ɕy,ɕy,ɕy,ɕy,ɕy
xuan,ɕˢɥɵɹ̃,ɕɥæn,ɕɥʏ̯̈æ̠͗n̚,ɕyen,ɕye̞n,ɕyan,ɕyan,ɕyaⁿ,ɕyɛn,ɕyan,ɕyan
xue,ɕˢʏ,ɕɥɛ,ɕɥe̞͗ɛ̠̑,ɕye,ɕye̞,ɕyɛ,ɕyɛ,ɕyɛ,ɕyᴇ,ɕyɛ,ɕyᴇ
xun,ɕˢø̯ɹ̩̃,ɕyn,ɕuɘ̹̑n̚,ɕyn,ɕyn,ɕyn,ɕyn,ɕyɪⁿ,ɕyn,ɕyn,ɕyn
ya,jɜ,ja,jä,ja,ja̠,iᴀ,iᴀ,iᴀ,jᴀ,iᴀ,iᴀ
yan,ɜɹ̃,jan,ja̠n̚,jan,ja̝n,ian,ian,iɛⁿ,jan,iɛn,ian
yang,ʌɰ̃,jɑŋ,jɑ̟ŋ̚,jaŋ,ja̝ŋ,iaŋ,iɑŋ,iɑᵑ,jɑŋ,iɑŋ,iɑŋ
yao,ʌɔ̯,jɑʊ,jɑ̟ʊ̯,jau,ja̝ʊ,iau,iɑu,iɑᵘ,jɑo,iɑu,iɑʊ
ye,ɪ,jɛ,je̞ɛ̠̑,ie,ie̞,iɛ,iɛ,iɛ,jᴇ,iɛ,iᴇ
yi,i̞,ji,iᶨ,i,i,i,i,i,ji,i,i
yin,ȋ̞ɹ̩̃,jin,jji̞n̚,jin,jin,in,in,iɪⁿ,jin,jin,in
ying,jɘ̯ɯ̃,jiŋ,jjɪŋ̚,jiŋ,jiŋ,iŋ,iŋ,iɪᵑ,jiəŋ,jiŋ,iᵊŋ
yo,jɔo̯,jo,jʷo̜̽ʊ̯,jou,jo̟u,,,,,j,
yong,o̯ũ,jʊŋ,ɥ͑ʊ̟ŋ̚ʷ,juŋ,jʊŋ,yŋ,yŋ,yɪᵑ,jʊŋ,iɷŋ,iʊŋ
you,ɔo̯,joʊ,jʷo̜̽ʊ̯,jou,jo̟u,iou,iou,iɤᵘ,joʊ,jiou,ioʊ
yu,øʏ̯,y,yᶨ,y,y,y,y,y,y,y,y
yuan,ɥɵɹ̃,ɥæn,ɥʏ̯̈æ̠͗n̚,yen,ye̞n,yan,yan,yaⁿ,yɛn,yan,yan
yue,ʏ,ɥɛ,ɥe̞͗ɛ̠̑,ye,ye̞,yɛ,yɛ,yɛ,yᴇ,yɛ,yᴇ
yun,ø̯ɹ̩̃,yn,ɥy˕n̚,yn,yn,yn,yn,yɪⁿ,yn,yn,yn
za,t͡sɜ,t͡sa,d̥͡z̟̊ä,tsa,tsa̠,tsᴀ,tsᴀ,tsᴀ,tsᴀ,tsᴀ,tsᴀ
zai,t͡sɜɛ̯,t͡saɪ,d̥͡z̟̊a̠ɪ̯,tsai,tsaɪ,tsai,tsai,tsaⁱ,tsae,tsai,tsæɪ
zan,t͡sɜɹ̃,t͡san,d̥͡z̟̊a̠n̚,tsan,tsa̝n,tsan,tsan,tsæⁿ,tsan,tsan,tsan
zang,t͡sʌɰ̃,t͡sɑŋ,d̥͡z̟̊ɑ̟ŋ̚,tsaŋ,tsa̝ŋ,tsaŋ,tsɑŋ,tsɑᵑ,tsɑŋ,tsɑŋ,tsɑŋ
zao,t͡sʌɔ̯,t͡sɑʊ,d̥͡z̟̊ɑ̟ʊ̯,tsau,tsa̝ʊ,tsau,tsɑu,tsɑᵘ,tsɑo,tsɑu,tsɑʊ
ze,t͡sɯ̽,t͡sɤ,d̥͡z̟̊ɤʌ̟̑,tsɤ,tsɤʌ̯,tsɤ,tsɤ,tsɤ,tsɤᶺ,tsɤ,tsɤᶺ
zei,t͡sɛe̯,t͡seɪ,d̥͡z̟̊e̽ɪ̯,tsei,tse̠i,tsei,tsei,tseⁱ,tseɪ,tsei,tseɪ
zen,t͡sɘ̯ɹ̩̃,t͡sən,d̥͡z̟̊ə̟n̚,tsən,tsən,tsən,tsən,tsəⁿ,tsən,tsən,tsən
zeng,t͡sɤ̯ɯ̃,t͡sɤŋ,d̥͡z̟̊ɤ̽ŋ̚,tsəŋ,tsəŋ,tsəŋ,tsəŋ,tsəᵑ,tsəŋ,tsʌŋ,tsʌŋ
zha,t͡ʃ˞ʰɜ,t͡ʂa,d̥͡ʐ̺̊ä,tʃ̺a,tʃ̺a̠,tʂᴀ,tʂᴀ,tʂᴀ,tʂᴀ,tʂᴀ,tʂᴀ
zhai,t͡ʃ˞ʰɜɛ̯,t͡ʂaɪ,d̥͡ʐ̺̊a̠ɪ̯,tʃ̺ai,tʃ̺aɪ,tʂai,tʂai,tʂaⁱ,tʂae,tʂai,tʂæɪ
zhan,t͡ʃ˞ʰɜɹ̃,t͡ʂan,d̥͡ʐ̺̊a̠n̚,tʃ̺an,tʃ̺a̝n,tʂan,tʂan,tʂæⁿ,tʂan,tʂan,tʂan
zhang,t͡ʃ˞ʰʌɰ̃,t͡ʂɑŋ,d̥͡ʐ̺̊ɑ̟ŋ̚,tʃ̺aŋ,tʃ̺a̝ŋ,tʂaŋ,tʂɑŋ,tʂɑᵑ,tʂɑŋ,tʂɑŋ,tʂɑŋ
zhao,t͡ʃ˞ʰʌɔ̯,t͡ʂɑʊ,d̥͡ʐ̺̊ɑ̟ʊ̯,tʃ̺au,tʃ̺a̝ʊ,tʂau,tʂɑu,tʂɑᵘ,tʂɑo,tʂɑu,tʂɑʊ
zhe,t͡ʃ˞ʰɯ̽,t͡ʂɤ,d̥͡ʐ̺̊ɤʌ̟̑,tʃ̺ɤ,tʃ̺ɤʌ̯,tʂɤ,tʂɤ,tʂɤ,tʂɤᶺ,tʂɤ,tʂɤᶺ
zhen,t͡ʃ˞ʰɘ̯ɹ̩̃,t͡ʂən,d̥͡ʐ̺̊ə̟n̚,tʃ̺ən,tʃ̺ən,tʂən,tʂən,tʂəⁿ,tʂən,tʂən,tʂən
zheng,t͡ʃ˞ʰɤ̯ɯ̃,t͡ʂɤŋ,d̥͡ʐ̺̊ɤ̽ŋ̚,tʃ̺əŋ,tʃ̺əŋ,tʂəŋ,tʂəŋ,tʂəᵑ,tʂəŋ,tʂʌŋ,tʂʌŋ
zhi,t͡ʃ˞ʰɘ̻˞,t͡ʂɻ̍,d̥͡ʐ̺̊ɻ̺̍,tʃ̺ɹ̩,tʃ̺ɹ̩,tʂʅ,tʂʅ,tʂʅ,tʂʅ,tʂɹ̩,tʂʅ
zhong,t͡ʃ˞ʰo̯ũ,t͡ʂʊŋ,d̥͡ʐ̺̊ʷʊŋ̚ʷ,tʃ̺uŋ,tʃ̺ʊŋ,tʂuŋ,tʂuŋ,tʂʊᵑ,tʂʊŋ,tʂɷŋ,tʂʊŋ
zhou,t͡ʃ˞ʰɔo̯,t͡ʂoʊ,d̥͡ʐ̺̊ʷo̜̽ʊ̯,tʃ̺ou,tʃ̺o̟u,tʂou,tʂou,tʂɤᵘ,tʂoʊ,tʂou,tʂoʊ
zhu,t͡ʃ˞ʰɵ̻,t͡ʂu,d̥͡ʐ̺̊u,tʃ̺u,tʃ̺u,tʂu,tʂu,tʂu,tʂu,tʂu,tʂu
zhua,t͡ʃ˞ʰwɜ,t͡ʂwa,d̥͡ʐ̺̊wä,tʃ̺ua,tʃ̺u̟a,tʂua,tʂuᴀ,tʂuᴀ,tʂuᴀ,tʂuᴀ,tʂuᴀ
zhuai,t͡ʃ˞ʰwəɛ̯,t͡ʂwaɪ,d̥͡ʐ̺̊wa̠ɪ̯,tʃ̺uai,tʃ̺ua̝i,tʂuai,tʂuai,tʂuaⁱ,tʂuae,tʂuai,tʂuæɪ
zhuan,t͡ʃ˞ʰwɞɹ̃,t͡ʂwan,d̥͡ʐ̺̊wa̠n̚,tʃ̺uan,tʃ̺u̟an,tʂuan,tʂuan,tʂuaⁿ,tʂuan,tʂuan,tʂuan
zhuang,t͡ʃ˞ʰwoɰ̃,t͡ʂwɑŋ,d̥͡ʐ̺̊wɑ̟ŋ̚,tʃ̺uaŋ,tʃ̺u̟aŋ,tʂuaŋ,tʂuɑŋ,tʂuɑᵑ,tʂuɑŋ,tʂuɑŋ,tʂuɑŋ
zhui,t͡ʃ˞ʰwɛe̯,t͡ʂweɪ,d̥͡ʐ̺̊uɘ̹̑ɪ̯,tʃ̺uei,tʃ̺ue̠i,tʂuei,tʂuei,tʂueⁱ,tʂueɪ,tʂuei,tʂueɪ
zhun,t͡ʃ˞ʰwɵ̯ɹ̩̃,t͡ʂwən,d̥͡ʐ̺̊uɘ̹̑n̚,tʃ̺uən,tʃ̺uən,tʂuən,tʂuən,tʂuəⁿ,tʂuən,tʂuən,tʂuən
zhuo,t͡ʃ˞ʰʊ,t͡ʂwo,d̥͡ʐ̺̊wo̜̽,tʃ̺uo,tʃ̺uo̟,tʂuo,tʂuo,tʂuo,tʂuo,tʂuɤ,tʂuo̞͑
zi,t͡sɘʴ,t͡sɹ̩,d̥͡z̟̊ɹ̟̍,tsɹ̩,tsɹ̩,tsɿ,tsɿ,tsɿ,tsɿ,tsz̩,tsɿ
zong,t͡so̯ũ,t͡sʊŋ,d̥͡z̟̊ʷʊŋ̚ʷ,tsuŋ,tsʊŋ,tsuŋ,tsuŋ,tsʊᵑ,tsʊŋ,tsɷŋ,tsʊŋ
zou,t͡sɔo̯,t͡soʊ,d̥͡z̟̊ʷo̜̽ʊ̯,tsou,tso̟u,tsou,tsou,tsɤᵘ,tsoʊ,tsou,tsoʊ
zu,t͡soʊ̯,t͡su,d̥͡z̟̊u,tsu,tsu,tsu,tsu,tsu,tsu,tsu,tsu
zuan,t͡swɞɹ̃,t͡swan,d̥͡z̟̊wa̠n̚,tsuan,tsu̟an,tsuan,tsuan,tsuaⁿ,tsuan,tsuan,tsuan
zui,t͡swɛe̯,t͡sweɪ,d̥͡z̟̊uɘ̹̑ɪ̯,tsuei,tsue̠i,tsuei,tsuei,tsueⁱ,tsueɪ,tsuei,tsueɪ
zun,t͡swɵ̯ɹ̩̃,t͡swən,d̥͡z̟̊uɘ̹̑n̚,tsuən,tsuən,tsuən,tsuən,tsuəⁿ,tsuən,tsuən,tsuən
zuo,t͡sʊ,t͡swo,d̥͡z̟̊wo̜̽,tsuo,tsuo̟,tsuo,tsuo,tsuo,tsuo,tsuɤ,tsuo̞͑
